"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","geneID","geneSymbol","category","subcategory","RichFactor","FoldEnrichment","zScore","MHCII_only"
"mmu04672","Intestinal immune network for IgA production","4/39","19/1431",0.0013619411304164,0.162072656836049,0.141236741505099,4,"14969/14960/14961/20315","H2-Eb1/H2-Aa/H2-Ab1/Cxcl12","Organismal Systems","Immune system",0.210526315789474,7.7246963562753,4.93756511400349,FALSE
"mmu05310","Asthma","3/39","11/1431",0.00265692880059097,0.162072656836049,0.141236741505099,3,"14969/14960/14961","H2-Eb1/H2-Aa/H2-Ab1","Human Diseases","Immune disease",0.272727272727273,10.006993006993,5.01779252908916,TRUE
"mmu04612","Antigen processing and presentation","4/39","29/1431",0.00685348548127451,0.212998849987115,0.185615908962024,4,"14969/14960/14961/16149","H2-Eb1/H2-Aa/H2-Ab1/Cd74","Organismal Systems","Immune system",0.137931034482759,5.06100795755968,3.69691561211638,TRUE
"mmu05416","Viral myocarditis","4/39","30/1431",0.00775394519179911,0.212998849987115,0.185615908962024,4,"14969/14960/14961/11461","H2-Eb1/H2-Aa/H2-Ab1/Actb","Human Diseases","Cardiovascular disease",0.133333333333333,4.89230769230769,3.60520055173609,FALSE
"mmu05145","Toxoplasmosis","4/39","31/1431",0.00872946106504568,0.212998849987115,0.185615908962024,4,"14969/14960/14961/16145","H2-Eb1/H2-Aa/H2-Ab1/Igtp","Human Diseases","Infectious disease: parasitic",0.129032258064516,4.73449131513648,3.51745854269173,FALSE
"mmu05320","Autoimmune thyroid disease","3/39","18/1431",0.0115094119530025,0.23402470971105,0.203938703026886,3,"14969/14960/14961","H2-Eb1/H2-Aa/H2-Ab1","Human Diseases","Immune disease",0.166666666666667,6.11538461538461,3.65446804925693,TRUE
"mmu05330","Allograft rejection","3/39","20/1431",0.0154843382684945,0.240575776016644,0.20964757012667,3,"14969/14960/14961","H2-Eb1/H2-Aa/H2-Ab1","Human Diseases","Immune disease",0.15,5.50384615384615,3.39403051513421,TRUE
"mmu04145","Phagocytosis","6/39","81/1431",0.0198024207601503,0.240575776016644,0.20964757012667,6,"14969/14960/67951/16819/14961/11461","H2-Eb1/H2-Aa/Tubb6/Lcn2/H2-Ab1/Actb","Cellular Processes","Transport and catabolism",0.0740740740740741,2.71794871794872,2.66358478521822,FALSE
"mmu05168","Herpes simplex virus 1 infection","4/39","40/1431",0.0212531712545311,0.240575776016644,0.20964757012667,4,"14969/14960/14961/16149","H2-Eb1/H2-Aa/H2-Ab1/Cd74","Human Diseases","Infectious disease: viral",0.1,3.66923076923077,2.86505694147946,TRUE
"mmu05150","Staphylococcus aureus infection","4/39","41/1431",0.0230945868839055,0.240575776016644,0.20964757012667,4,"14969/14960/14961/12628","H2-Eb1/H2-Aa/H2-Ab1/Cfh","Human Diseases","Infectious disease: bacterial",0.0975609756097561,3.5797373358349,2.80440493047201,FALSE
