"Description","pvalue","Count","GeneRatio"
"response to interferon-beta","7.87e-12",10,"10/57"
"response to cytokine","1.91e-10",25,"25/57"
"response to peptide","2.77e-10",25,"25/57"
"cellular response to interferon-beta","1.62e-09",8,"8/57"
"response to other organism","4.12e-09",29,"29/57"
"response to external biotic stimulus","4.34e-09",29,"29/57"
"response to biotic stimulus","7.30e-09",29,"29/57"
"biological process involved in interspecies interaction between organisms","7.68e-09",29,"29/57"
"defense response to symbiont","6.78e-08",22,"22/57"
"defense response to other organism","9.16e-08",22,"22/57"
