gene,count,models,frequency
Spp1,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Cdkn1a,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Cd24a,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Cd72,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Fth1,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Lpl,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
H2-Eb1,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Ifitm6,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
H2-Aa,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Tubb6,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Il1rn,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Napsa,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Sirpb1c,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Adam8,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Plac8,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Ch25h,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Anxa1,6,"Logistic Regression, Random Forest, XGBoost, scGPT, scBERT, scFormer",0.8571428571428571
Sepp1,5,"Logistic Regression, XGBoost, scGPT, scBERT, scFormer",0.7142857142857143
Dbp,5,"Logistic Regression, XGBoost, scGPT, scBERT, scFormer",0.7142857142857143
Emp1,5,"Logistic Regression, XGBoost, scGPT, scBERT, scFormer",0.7142857142857143
Plat,5,"Logistic Regression, XGBoost, scGPT, scBERT, scFormer",0.7142857142857143
Ccr2,5,"Random Forest, XGBoost, scGPT, scBERT, scFormer",0.7142857142857143
Tgtp2,4,"Logistic Regression, scGPT, scBERT, scFormer",0.5714285714285714
Serpina3n,4,"Logistic Regression, scGPT, scBERT, scFormer",0.5714285714285714
Lcn2,4,"Logistic Regression, scGPT, scBERT, scFormer",0.5714285714285714
