"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035456","response to interferon-beta","10/57","23/2675",0.434782608695652,20.4042715484363,13.7882074821724,7.87477584997732e-12,1.42848433918589e-08,1.15137512164405e-08,"Ifitm6/Tgtp2/Iigp1/Igtp/Ifitm1/Ifit3/Ifi47/Gbp2/Tgtp1/Ifi205",10
"GO:0034097","response to cytokine","25/57","297/2675",0.0841750841750842,3.95032193277807,7.95563803768503,1.91372757251511e-10,1.67628850158034e-07,1.35110818121923e-07,"Spp1/Cd24a/Ifitm6/Il1rn/Ch25h/Ccr2/Tgtp2/Serpina3n/Lcn2/Iigp1/Cd74/Igtp/Ifitm1/Ackr1/Ifit3/Ifi47/Gbp2/Tgtp1/Kcnj8/Gbp4/Timp1/Ccl19/Ifi205/Cxcl12/Cfh",25
"GO:1901652","response to peptide","25/57","302/2675",0.0827814569536424,3.88491925177181,7.85274640065759,2.77225220768524e-10,1.67628850158034e-07,1.35110818121923e-07,"Spp1/Cd24a/Ifitm6/Il1rn/Ch25h/Ccr2/Tgtp2/Serpina3n/Lcn2/Iigp1/Cd74/Igtp/Ifitm1/Ackr1/Ifit3/Ifi47/Gbp2/Tgtp1/Kcnj8/Gbp4/Timp1/Ccl19/Ifi205/Cxcl12/Cfh",25
"GO:0035458","cellular response to interferon-beta","8/57","19/2675",0.421052631578947,19.7599261311173,12.1067394852168,1.61921277239346e-09,7.34312992280432e-07,5.9186487917224e-07,"Tgtp2/Iigp1/Igtp/Ifit3/Ifi47/Gbp2/Tgtp1/Ifi205",8
"GO:0051707","response to other organism","29/57","461/2675",0.0629067245119306,2.95220154507744,6.79703669863634,4.11939942778985e-09,1.31283239146271e-06,1.05815829614211e-06,"Cd24a/Lpl/Ifitm6/Adam8/Plac8/Ch25h/Anxa1/Tgtp2/Serpina3n/Lcn2/Ednrb/Hmgcs2/Adm/Iigp1/Cd74/Igtp/Ifitm1/Lrg1/Ifit3/Ifi47/Gbp2/Tgtp1/AA467197/Kcnj8/Gbp4/Ccl19/Ifi205/Cxcl12/Cfh",29
"GO:0043207","response to external biotic stimulus","29/57","462/2675",0.0627705627705628,2.94581149844308,6.78366440006363,4.34233426062637e-09,1.31283239146271e-06,1.05815829614211e-06,"Cd24a/Lpl/Ifitm6/Adam8/Plac8/Ch25h/Anxa1/Tgtp2/Serpina3n/Lcn2/Ednrb/Hmgcs2/Adm/Iigp1/Cd74/Igtp/Ifitm1/Lrg1/Ifit3/Ifi47/Gbp2/Tgtp1/AA467197/Kcnj8/Gbp4/Ccl19/Ifi205/Cxcl12/Cfh",29
"GO:0009607","response to biotic stimulus","29/57","472/2675",0.0614406779661017,2.88340023788284,6.6518076134588,7.29607266627656e-09,1.74111004482624e-06,1.4033551048939e-06,"Cd24a/Lpl/Ifitm6/Adam8/Plac8/Ch25h/Anxa1/Tgtp2/Serpina3n/Lcn2/Ednrb/Hmgcs2/Adm/Iigp1/Cd74/Igtp/Ifitm1/Lrg1/Ifit3/Ifi47/Gbp2/Tgtp1/AA467197/Kcnj8/Gbp4/Ccl19/Ifi205/Cxcl12/Cfh",29
"GO:0044419","biological process involved in interspecies interaction between organisms","29/57","473/2675",0.0613107822410148,2.87730425429324,6.63880458990649,7.67854485039137e-09,1.74111004482624e-06,1.4033551048939e-06,"Cd24a/Lpl/Ifitm6/Adam8/Plac8/Ch25h/Anxa1/Tgtp2/Serpina3n/Lcn2/Ednrb/Hmgcs2/Adm/Iigp1/Cd74/Igtp/Ifitm1/Lrg1/Ifit3/Ifi47/Gbp2/Tgtp1/AA467197/Kcnj8/Gbp4/Ccl19/Ifi205/Cxcl12/Cfh",29
"GO:0140546","defense response to symbiont","22/57","304/2675",0.0723684210526316,3.39623730378578,6.54687649017997,6.77761335455576e-08,1.36606562501824e-05,1.10106490637169e-05,"Cd24a/Ifitm6/Adam8/Ch25h/Anxa1/Tgtp2/Lcn2/Adm/Iigp1/Cd74/Igtp/Ifitm1/Ifit3/Ifi47/Gbp2/Tgtp1/Kcnj8/Gbp4/Ccl19/Ifi205/Cxcl12/Cfh",22
"GO:0098542","defense response to other organism","22/57","309/2675",0.0711974110032362,3.34128200760802,6.45593137676503,9.16442035324029e-08,1.66242585207779e-05,1.3399347232264e-05,"Cd24a/Ifitm6/Adam8/Ch25h/Anxa1/Tgtp2/Lcn2/Adm/Iigp1/Cd74/Igtp/Ifitm1/Ifit3/Ifi47/Gbp2/Tgtp1/Kcnj8/Gbp4/Ccl19/Ifi205/Cxcl12/Cfh",22
"GO:0071345","cellular response to cytokine stimulus","20/57","268/2675",0.0746268656716418,3.50222571353757,6.37072916794013,2.06138510023295e-07,3.39941142892961e-05,2.73996545858715e-05,"Spp1/Cd24a/Ifitm6/Il1rn/Ccr2/Tgtp2/Lcn2/Iigp1/Cd74/Igtp/Ifitm1/Ackr1/Ifit3/Ifi47/Gbp2/Tgtp1/Gbp4/Ccl19/Ifi205/Cxcl12",20
"GO:0042832","defense response to protozoan","6/57","19/2675",0.315789473684211,14.8199445983379,8.91871683197515,1.56983092504961e-06,0.000230958124640886,0.000186154955681652,"Tgtp2/Iigp1/Igtp/Gbp2/Tgtp1/Gbp4",6
"GO:0045087","innate immune response","19/57","277/2675",0.0685920577617329,3.21901323706378,5.75451195008285,1.76070738300833e-06,0.000230958124640886,0.000186154955681652,"Cd24a/Ifitm6/Adam8/Ch25h/Anxa1/Tgtp2/Lcn2/Iigp1/Cd74/Igtp/Ifitm1/Ifit3/Ifi47/Gbp2/Tgtp1/Kcnj8/Gbp4/Ifi205/Cfh",19
"GO:0009617","response to bacterium","18/57","250/2675",0.072,3.37894736842105,5.82817085672015,1.78247725742691e-06,0.000230958124640886,0.000186154955681652,"Cd24a/Lpl/Plac8/Serpina3n/Lcn2/Ednrb/Hmgcs2/Adm/Iigp1/Igtp/Lrg1/Ifit3/Gbp2/Tgtp1/AA467197/Kcnj8/Gbp4/Ifi205",18
"GO:0001562","response to protozoan","6/57","21/2675",0.285714285714286,13.4085213032581,8.42194744402687,3.03769786550477e-06,0.000367358928535043,0.000296095602469202,"Tgtp2/Iigp1/Igtp/Gbp2/Tgtp1/Gbp4",6
"GO:0051251","positive regulation of lymphocyte activation","11/57","107/2675",0.102803738317757,4.82456140350877,5.95674933856991,9.86996586340506e-06,0.00111900737976355,0.00090193306475458,"Cdkn1a/Cd24a/H2-Eb1/H2-Aa/Adam8/Anxa1/Ccr2/H2-Ab1/Actb/Cd74/Ccl19",11
