gene,importance,rank,method
Spp1,0.877013437947672,1,Logistic Regression
Cdkn1a,0.6838553417394384,2,Logistic Regression
Arg1,0.6526021151004281,3,Logistic Regression
Plat,0.6394802521144948,4,Logistic Regression
Cd24a,0.6368174859007931,5,Logistic Regression
Fth1,0.6314118668593659,6,Logistic Regression
Dbp,0.6268547014502781,7,Logistic Regression
Cd72,0.6235823745048925,8,Logistic Regression
Tnf,0.620546523612088,9,Logistic Regression
Iigp1,0.6129464677669739,10,Logistic Regression
H2-Eb1,0.6088971673487741,11,Logistic Regression
Ccl12,0.6081777321720544,12,Logistic Regression
Lpl,0.597377183678009,13,Logistic Regression
Adm,0.5956375661022131,14,Logistic Regression
Lcn2,0.5943369891674689,15,Logistic Regression
H2-Aa,0.5936120222456192,16,Logistic Regression
Ifitm6,0.5917414406260154,17,Logistic Regression
Serpina3n,0.5902084878825978,18,Logistic Regression
H2-Ab1,0.5883288039437351,19,Logistic Regression
Plvap,0.5881687174393796,20,Logistic Regression
Ccl4,0.5873181239210133,21,Logistic Regression
Mnda,0.5836085026391884,22,Logistic Regression
Tubb6,0.5806022429623154,23,Logistic Regression
Lrg1,0.5749970738441486,24,Logistic Regression
Ednrb,0.5694112646941891,25,Logistic Regression
Hmgcs2,0.5636246420348598,26,Logistic Regression
Tgtp2,0.5596962560241665,27,Logistic Regression
Retnlg,0.5584674861817236,28,Logistic Regression
Igfbp6,0.5583231857601862,29,Logistic Regression
Emp1,0.5541449017678414,30,Logistic Regression
Ifitm1,0.5538503505170722,31,Logistic Regression
Igtp,0.5529676875821239,32,Logistic Regression
Cd74,0.5493604486703267,33,Logistic Regression
Wfdc21,0.5461696010093405,34,Logistic Regression
8430408G22Rik,0.5456788737107978,35,Logistic Regression
Fbln5,0.5433630373340268,36,Logistic Regression
Actb,0.5422966016443755,37,Logistic Regression
Stmn2,0.5389807814194624,38,Logistic Regression
Sepp1,0.5366553117125079,39,Logistic Regression
Gfap,0.5355625346304671,40,Logistic Regression
Ifit3,0.5323905421093773,41,Logistic Regression
Pyhin1,0.5318643397418971,42,Logistic Regression
Angpt2,0.5301412820834623,43,Logistic Regression
Gm2564,0.5296768642162138,44,Logistic Regression
Plac8,0.5288406151688496,45,Logistic Regression
Gm4955,0.5284308636636601,46,Logistic Regression
Napsa,0.5281297179844893,47,Logistic Regression
Ackr1,0.5275775400140086,48,Logistic Regression
Mgp,0.5270093320649262,49,Logistic Regression
Tgtp1,0.5261769594219565,50,Logistic Regression
Sirpb1c,0.5252898828160643,51,Logistic Regression
Gbp2,0.5241945167949074,52,Logistic Regression
Ier3,0.5202611029204404,53,Logistic Regression
Cd300lg,0.5186904468566069,54,Logistic Regression
Adam8,0.5186370331729371,55,Logistic Regression
Lgals3,0.5178456285508924,56,Logistic Regression
Ifi47,0.5168317409572828,57,Logistic Regression
Lilr4b,0.5122788882237255,58,Logistic Regression
Ccl7,0.5115775574306535,59,Logistic Regression
Gbp4,0.5104733872030256,60,Logistic Regression
B930036N10Rik,0.5088287074323539,61,Logistic Regression
Kcnj8,0.5085798937340974,62,Logistic Regression
AA467197,0.508255751495463,63,Logistic Regression
Anxa1,0.507941181022361,64,Logistic Regression
S100a6,0.5063992675266271,65,Logistic Regression
mt-Co1,0.5054179306767911,66,Logistic Regression
Slc43a3,0.5045278447038,67,Logistic Regression
Cnn1,0.5022376757501318,68,Logistic Regression
Il1rn,0.5006575643178627,69,Logistic Regression
Igfbp3,0.4993846115462236,70,Logistic Regression
Ccl9,0.49896300309029257,71,Logistic Regression
Nfkbia,0.4930952100853147,72,Logistic Regression
Timp1,0.4929097340858947,73,Logistic Regression
F10,0.49247525702654754,74,Logistic Regression
Pydc4,0.49234437576265005,75,Logistic Regression
Hcar2,0.4920801751609917,76,Logistic Regression
Gpr84,0.4919832023811694,77,Logistic Regression
S100a9,0.49178399632605674,78,Logistic Regression
Cytip,0.49114297761504855,79,Logistic Regression
Msr1,0.49014080679096866,80,Logistic Regression
Ly6c2,0.490092284400745,81,Logistic Regression
