gene,importance,rank,method
Spp1,0.06082996743559511,1,Random Forest
Ccl4,0.04979713768458552,2,Random Forest
Ifitm6,0.048337818179735974,3,Random Forest
Hp,0.04822457648530089,4,Random Forest
Lpl,0.04716475315270845,5,Random Forest
Wfdc21,0.04684258379737584,6,Random Forest
Lilrb4a,0.045429986644095435,7,Random Forest
Cd72,0.045029517388215486,8,Random Forest
Msr1,0.04428630131078917,9,Random Forest
S100a9,0.0437021476767236,10,Random Forest
Lilr4b,0.043115085263646304,11,Random Forest
S100a8,0.04280964836479388,12,Random Forest
Hdc,0.04252578470443336,13,Random Forest
Mcemp1,0.042310616887327374,14,Random Forest
Slpi,0.042088161326912024,15,Random Forest
Retnlg,0.04192937518973756,16,Random Forest
Cdkn1a,0.04168956737220072,17,Random Forest
Adam8,0.04162808697101645,18,Random Forest
Lsp1,0.04145125903921035,19,Random Forest
Dab2,0.041012445579106764,20,Random Forest
P2ry12,0.04066811957926937,21,Random Forest
S100a6,0.040617301118452534,22,Random Forest
Fth1,0.040586151788734266,23,Random Forest
Ms4a6d,0.04041831716901872,24,Random Forest
Tubb6,0.040357897631918924,25,Random Forest
Clec4e,0.04035016699656663,26,Random Forest
Plac8,0.04033873406029157,27,Random Forest
Il1b,0.04010147358734531,28,Random Forest
Sirpb1c,0.040061358614085524,29,Random Forest
Ccl3,0.03966937492360243,30,Random Forest
Napsa,0.03965759491310116,31,Random Forest
Il1r2,0.03951958535245612,32,Random Forest
Ccl12,0.03946301236273307,33,Random Forest
Tnf,0.038917208535390845,34,Random Forest
C5ar1,0.03889001507397921,35,Random Forest
Ccl2,0.03854245306440662,36,Random Forest
Slfn1,0.038160141802395624,37,Random Forest
Anxa1,0.03794901196980009,38,Random Forest
Lgals3,0.03787954699631163,39,Random Forest
Cd63,0.03777738115572301,40,Random Forest
Mmp8,0.037718028484739645,41,Random Forest
Ccl7,0.03706118260188897,42,Random Forest
Selplg,0.036914836723379425,43,Random Forest
Siglech,0.036785161004022085,44,Random Forest
Ccr2,0.03658524491824608,45,Random Forest
Gda,0.036413011551393135,46,Random Forest
Ms4a4c,0.03626827629877217,47,Random Forest
Plin2,0.03610712932547147,48,Random Forest
G0s2,0.03602781206548067,49,Random Forest
Sirpb1b,0.035994841434056186,50,Random Forest
Sell,0.035890446817271146,51,Random Forest
Plbd1,0.0358792602664101,52,Random Forest
Ly6c2,0.0358530301277962,53,Random Forest
Wfdc17,0.03578562307165803,54,Random Forest
Ms4a6c,0.03553560237414265,55,Random Forest
Id2,0.03546694086175718,56,Random Forest
S100a4,0.03539236044478536,57,Random Forest
Cd24a,0.035323628609388466,58,Random Forest
Capg,0.03532022239446248,59,Random Forest
Cxcr2,0.035264893794553935,60,Random Forest
Ftl1,0.034864926241873276,61,Random Forest
Mt1,0.03464423104989516,62,Random Forest
Cd14,0.03450409676726719,63,Random Forest
Gpr84,0.034496681551207366,64,Random Forest
Lgals1,0.03449305383975842,65,Random Forest
Mmp9,0.03427177661105325,66,Random Forest
Ccl9,0.03406631193796617,67,Random Forest
Trem3,0.03405651268346128,68,Random Forest
Sdc4,0.03403058192558205,69,Random Forest
Fpr2,0.033956309775927514,70,Random Forest
Ctla2a,0.033941444488924964,71,Random Forest
Gpr34,0.033847097625943755,72,Random Forest
Cyp4f18,0.03384485507269777,73,Random Forest
Plaur,0.033817942628954,74,Random Forest
Ctsb,0.033447403486043574,75,Random Forest
C3ar1,0.03344345306160648,76,Random Forest
Il1rn,0.03341885491553946,77,Random Forest
Ch25h,0.03323443964074129,78,Random Forest
Chil3,0.03315905709597552,79,Random Forest
Hspa5,0.03298106477310417,80,Random Forest
Cstb,0.0328898918459152,81,Random Forest
Prdx1,0.03288437843374649,82,Random Forest
Mt2,0.03278403503763704,83,Random Forest
B930036N10Rik,0.032780148829708367,84,Random Forest
Cxcl16,0.032778909254418585,85,Random Forest
Pf4,0.03258808721683822,86,Random Forest
F13a1,0.032553644771166526,87,Random Forest
H2-Eb1,0.03244806935835269,88,Random Forest
Ctsl,0.03240147412310396,89,Random Forest
Tmem119,0.03237783172041525,90,Random Forest
Clec4d,0.03233480799671651,91,Random Forest
Socs3,0.03230751610218623,92,Random Forest
Msrb1,0.03208677377641669,93,Random Forest
Lst1,0.03204655180349833,94,Random Forest
Pld4,0.031912243801066956,95,Random Forest
Ms4a7,0.03186748510572671,96,Random Forest
Tgfbi,0.031741319293267366,97,Random Forest
Adamts1,0.03162327711191098,98,Random Forest
