gene,importance,rank,method
Spp1,0.05518552489552866,1,XGBoost
Ccl4,0.043825668656653445,2,XGBoost
Lpl,0.042974173045965,3,XGBoost
Wfdc21,0.04215060069408896,4,XGBoost
Cd72,0.041468395590746554,5,XGBoost
Ifitm6,0.04086968773781023,6,XGBoost
Hp,0.039598430900759776,7,XGBoost
S100a9,0.039153918629670444,8,XGBoost
Msr1,0.038575925137320846,9,XGBoost
S100a8,0.03840652083130678,10,XGBoost
Retnlg,0.03839617894189249,11,XGBoost
Cdkn1a,0.03792692095617119,12,XGBoost
Ccl12,0.03780387764522871,13,XGBoost
Hdc,0.037603076804632145,14,XGBoost
Fth1,0.03730465733211955,15,XGBoost
Lilrb4a,0.03698163979930487,16,XGBoost
Cd63,0.0366885982941447,17,XGBoost
Dab2,0.036192905447013014,18,XGBoost
Tubb6,0.03608125716035644,19,XGBoost
Lsp1,0.036056535129589735,20,XGBoost
Adam8,0.03594630655284803,21,XGBoost
Tnf,0.0359121142672501,22,XGBoost
Lilr4b,0.035843713346397806,23,XGBoost
Ccl3,0.035244359438381244,24,XGBoost
S100a6,0.03494011486928035,25,XGBoost
Ms4a6d,0.03476180905941262,26,XGBoost
Slpi,0.03472038235033487,27,XGBoost
Plac8,0.03471348570969556,28,XGBoost
Anxa1,0.034401716919658064,29,XGBoost
Sirpb1c,0.034238319027854715,30,XGBoost
Napsa,0.03409591726811382,31,XGBoost
C5ar1,0.033930293684283866,32,XGBoost
Ccl2,0.03392746451238023,33,XGBoost
Clec4e,0.03373923686636053,34,XGBoost
Ccl7,0.033603999724155384,35,XGBoost
Mmp8,0.03358572755325479,36,XGBoost
Mcemp1,0.03357977937850168,37,XGBoost
Il1r2,0.033424798298223715,38,XGBoost
Il1b,0.032757440457926994,39,XGBoost
Mt1,0.03250051863142818,40,XGBoost
Ctla2a,0.03237327298765007,41,XGBoost
G0s2,0.03213670097639485,42,XGBoost
Lgals1,0.03206427227603986,43,XGBoost
Cd24a,0.0318460867806062,44,XGBoost
P2ry12,0.031785781383906135,45,XGBoost
Ch25h,0.03177425253248441,46,XGBoost
Gpr84,0.03177086747494779,47,XGBoost
Lgals3,0.03168315765820237,48,XGBoost
Cxcr2,0.031586726792302636,49,XGBoost
Mmp9,0.03154084750374114,50,XGBoost
Ccr2,0.031454242313207925,51,XGBoost
Id2,0.03144641386749034,52,XGBoost
Sdc4,0.031044498493214577,53,XGBoost
Slfn1,0.03097047154223285,54,XGBoost
Mt2,0.03092887547932055,55,XGBoost
Sell,0.03081128076560893,56,XGBoost
H2-Eb1,0.03079063601414556,57,XGBoost
Plbd1,0.03078563688035205,58,XGBoost
Ly6c2,0.030772642860613503,59,XGBoost
Ms4a4c,0.030719130552540816,60,XGBoost
S100a4,0.030620962735575272,61,XGBoost
Ctsb,0.03060065222999613,62,XGBoost
Capg,0.030464242888579993,63,XGBoost
B930036N10Rik,0.030410276740951054,64,XGBoost
C3ar1,0.030361743788713643,65,XGBoost
Hspa5,0.030227727354348626,66,XGBoost
Cxcl16,0.030213129442745245,67,XGBoost
Prdx1,0.03009832054741582,68,XGBoost
Sirpb1b,0.03007865299606744,69,XGBoost
Phlda1,0.03005832309448955,70,XGBoost
Plin2,0.030021157351387384,71,XGBoost
Socs3,0.029979010788972655,72,XGBoost
Adamts1,0.029978151253434546,73,XGBoost
Sepp1,0.029939386498409826,74,XGBoost
Ftl1,0.029909627139092943,75,XGBoost
Ccl9,0.029902595419254135,76,XGBoost
Cd14,0.02969679641440512,77,XGBoost
