"PC","explained_variance_ratio","cumulative_variance"
"PC_1",0.178641317797606,0.178641317797606
"PC_2",0.14277975257154,0.321421070369146
"PC_3",0.0939594863634737,0.41538055673262
"PC_4",0.0903870443629824,0.505767601095602
"PC_5",0.0744903255073437,0.580257926602946
"PC_6",0.0672129977951096,0.647470924398055
"PC_7",0.0294297906319318,0.676900715029987
"PC_8",0.0259648740547281,0.702865589084715
"PC_9",0.0250853220505546,0.72795091113527
"PC_10",0.0231877036335634,0.751138614768833
"PC_11",0.0190569785508893,0.770195593319723
"PC_12",0.0168052792226164,0.787000872542339
"PC_13",0.0146878397229164,0.801688712265255
"PC_14",0.0137833221178906,0.815472034383146
"PC_15",0.012984758335938,0.828456792719084
"PC_16",0.00962011287835164,0.838076905597436
"PC_17",0.00904818713412321,0.847125092731559
"PC_18",0.00814578220854274,0.855270874940101
"PC_19",0.00782626120385537,0.863097136143957
"PC_20",0.00754966522293597,0.870646801366893
"PC_21",0.00688823995833885,0.877535041325232
"PC_22",0.00671715025691009,0.884252191582142
"PC_23",0.00632524349545621,0.890577435077598
"PC_24",0.0060009130335488,0.896578348111147
"PC_25",0.0054037626515936,0.90198211076274
"PC_26",0.005352164430952,0.907334275193692
"PC_27",0.00505399576044216,0.912388270954135
"PC_28",0.00497846430717764,0.917366735261312
"PC_29",0.00485653143325516,0.922223266694567
"PC_30",0.00472616355359831,0.926949430248166
"PC_31",0.00454781025290848,0.931497240501074
"PC_32",0.00449667125678615,0.93599391175786
"PC_33",0.00437927101162838,0.940373182769489
"PC_34",0.00415733184824313,0.944530514617732
"PC_35",0.00399029992137032,0.948520814539102
"PC_36",0.00390678593737588,0.952427600476478
"PC_37",0.00378758474068076,0.956215185217159
"PC_38",0.00370185562788854,0.959917040845047
"PC_39",0.0036814448360978,0.963598485681145
"PC_40",0.00364934687033139,0.967247832551476
"PC_41",0.00357914452845977,0.970826977079936
"PC_42",0.0035615131517839,0.97438849023172
"PC_43",0.00341963974097846,0.977808129972699
"PC_44",0.00339126262441193,0.981199392597111
"PC_45",0.00331753160361819,0.984516924200729
"PC_46",0.0032505211575811,0.98776744535831
"PC_47",0.00318333996639036,0.9909507853247
"PC_48",0.00307654926154764,0.994027334586248
"PC_49",0.00303124258543649,0.997058577171684
"PC_50",0.00294142282831581,1
