"gene","PC_1","PC_2","PC_3","PC_4","PC_5","PC_6","PC_7","PC_8","PC_9","PC_10","PC_11","PC_12","PC_13","PC_14","PC_15","PC_16","PC_17","PC_18","PC_19","PC_20","PC_21","PC_22","PC_23","PC_24","PC_25","PC_26","PC_27","PC_28","PC_29","PC_30","PC_31","PC_32","PC_33","PC_34","PC_35","PC_36","PC_37","PC_38","PC_39","PC_40","PC_41","PC_42","PC_43","PC_44","PC_45","PC_46","PC_47","PC_48","PC_49","PC_50"
"S100a8",0.00839463919209638,0.000154697979660154,-0.00239514735309013,-0.00186368248891261,-0.00203120536208156,-0.0439893270623124,0.0825121669701757,0.0153558078105424,-0.0132216740483765,0.0823300164976766,0.105767869269894,-0.0119250265713204,0.0299678477304758,0.0250957640524332,-0.0265480044408394,0.00736443321543113,-0.0567287359578363,-0.00454175832130387,-0.0261183685664565,-0.00649015379334933,0.0146709069582936,-0.0373849450129835,-0.00708277511839762,0.00047396901088802,-0.0204726191284876,-0.0390656565365759,-0.00768411135097233,-0.0232196907858808,-0.00391789593947216,-0.00355501771763085,-0.00951258859356786,-0.00476845395562203,0.0112671910567133,-0.00696918863403271,-0.00625095644174298,0.00376654666568848,-0.00597579131022745,-0.00999275543929631,0.00507507412490323,0.0105340744025145,-0.025090172095233,-0.00922726160283208,-0.0111868338316919,-0.0139975666390947,0.000842014338866546,-0.00838270278997398,-0.00870041400100764,-0.00324517011970531,-0.0135864063664226,-0.0169931341559188
"S100a9",0.00762442338603154,0.00171115366607051,-0.00203388218376711,-0.00285955313298489,-0.00107570517483462,-0.0450823837479198,0.0789236624909151,0.0175009107599981,-0.0125986761636681,0.0933906319735973,0.115702826644116,-0.0144504436187717,0.0410807463974327,0.0284175401168345,-0.0320087492226113,0.0236873944280791,-0.0564774992677709,-0.00244805148915715,-0.0250780702932674,0.00256887449647142,0.0122576355866993,-0.0325603266402695,-0.00471370690472757,-0.00432049853263181,-0.0168051056164472,-0.0372363732958556,-0.0119615385234475,-0.0235443878740606,-0.00312308409118098,-0.0058819248371789,-0.00285729976564727,-0.0118409822381925,0.013096817930727,-0.00405946307706977,0.00076225435624945,0.00260588973876242,-0.0190353204879294,-0.0143864680787629,0.00983006098232591,0.0150657409564536,-0.0275797341600685,-0.0254698475359985,-0.00634369196203527,-0.00705516087782218,-0.00160482756100535,-0.00300530395607428,-0.0118236468370854,-0.0026843475592092,-0.00813607222651113,-0.011027253038887
"Plp1",-0.0107651258096938,0.0303080633028636,0.00639501697742548,0.0807475120445532,0.00752789857992819,-0.00729423077220747,-0.0067699212419589,0.000377511847647915,-0.00022170971156104,0.00203774379910095,-6.15250616983539e-06,-0.00420749233652846,0.00240641219072413,-0.00341529463055407,0.000149168561663155,0.00739131970117643,0.00343527316527104,0.0138620921850102,0.0151410948895984,-0.00138005487066383,0.0020818487632835,0.0101734791192534,0.00899206130275459,0.0122110393765057,0.00628657908260193,-0.00742327478611994,-0.0148934953785981,-0.0122977762218174,-0.01512554991083,0.01470224027635,-0.000768941175326435,-0.00378020792626013,-0.00639460492349273,-0.00414915618205769,0.00306598645170798,0.00808361170850352,-0.00624346352131076,0.000536456888337381,-0.000666227479666152,0.00149084430460365,-0.00420809663405946,-0.00335028615859387,0.00427758804685645,0.00478106832715787,-0.00116505616536992,-0.020211400109194,0.00579073963694941,-0.0421218060069974,-0.0142107439324895,0.025473283541623
"Retnlg",0.006703696037374,0.00118287422387299,-0.00346809953473001,-0.00105029853742377,-0.00161561885742166,-0.0458535420085811,0.0667081530967763,0.0167651627536623,-0.0123404349518647,0.0913969455650512,0.106806417225344,-0.0195557435196373,0.0463282814040982,0.025972134807677,-0.0313763830854734,0.0275759364704631,-0.0566117537679596,0.00819806297146575,-0.0228934772748935,-0.0145347093843754,0.0167445386303301,-0.0415244340604091,-0.00789333351048466,0.00540508715659404,-0.0108227453289883,-0.0450570844192915,-0.019460611921164,-0.0353168600568549,-0.0258681123231254,-0.00454009550892441,-0.0145803975405269,-0.00695406006326942,-0.00694162879148337,0.0293925278689923,0.000795163312592139,-0.00570087732125934,-0.0267941351264733,-0.0174521998999451,0.0060218432786468,0.0424133419701773,-0.0228065791677453,-0.0258353255404627,0.0123418150046157,-0.0135992641330378,-0.0183570759174968,0.0343253158804323,-0.00172278124164272,-0.0208572918366398,-0.0326197692277886,-0.0263092674044863
"Cd74",0.0264561703337063,0.00817143265261283,-0.00741557104578913,-0.000856139254799086,-0.00406298452910533,-0.0523128177719994,-0.0203748292545011,-0.0110523458954684,0.00629920015990085,-0.0308544759173147,-0.0771797196098867,0.0228258677762097,0.0146169108114799,0.002578302678206,0.00728391848733556,0.151089645046598,-0.0356068551759078,-0.0225372658417793,-0.0458293222251169,0.0904902965429271,0.00589036403661069,-0.00736617998794659,0.0162573706516687,0.00649947203697357,-0.00300383842010933,-0.0180012085855694,-0.019220001597069,-0.0205514838794809,-0.0409366855716072,-0.0135951658775988,0.0175974796751764,-0.0202250064389864,0.0218564510240233,0.000920254582982762,-0.00972917464981117,0.0181143838381765,-0.00273027942769353,-0.0427698941941753,0.0581755041372407,-0.0147582705913009,-0.0852451528239261,0.016030669990464,0.0209856308322187,0.00926229017535707,-0.0169716140243169,0.0107486874000792,-0.0183286352775823,0.00796238822750693,-0.0172955733865757,-0.0216742690137794
"H2-Aa",0.0140091037996557,0.0035453698792757,-0.0049619836572878,0.00070954348738733,-0.0030948193855692,-0.0410192355828431,0.0180836207155932,-0.0155718840914784,-0.00399390907347318,-0.0498920287727533,-0.0954026222557832,0.00987288322969347,0.0224745001383403,0.000298509224140568,0.0110457876446557,0.194782377404722,-0.0464353204334521,-0.0280880604687451,-0.0591580139652053,0.114629867740112,0.00637386843385803,-0.0179037653677144,0.0100834820859624,-0.00556944130704709,-0.0121803502541532,-0.0283117267090957,-0.0175540628184005,-0.0188408437855235,-0.0393977295053424,-0.0120229736089354,0.00624714939556267,-0.0176317309488044,0.00621942850853481,0.0225872136748727,0.00175847017464853,0.0189425213850206,0.0166904801694274,-0.0292366185877639,0.0438098239528063,-0.0194115658502136,-0.101606768540282,0.00557908780745796,0.00693475630404471,0.0128769917530258,-0.0147929942073377,-0.00950100723855454,-0.0311839282967897,-0.00439166781451621,-0.0171634908973446,-0.0243439921330713
"H2-Ab1",0.0152936333143813,0.00399961547016215,-0.00428862180504155,-0.000796616572713373,-0.0040084453443392,-0.0393121219963275,0.01511844870945,-0.0115556156809599,8.70348721072523e-05,-0.0412079662869826,-0.0900160422509352,0.0102052304922688,0.0187517601017857,-0.0006750070948307,0.0064204517229468,0.181588246594015,-0.0481768668024163,-0.0313212434132699,-0.0503743677114978,0.110745839194955,0.00854986832253991,-0.0199444340644592,0.0107322272792302,-0.00102024962204401,-0.0134807569765335,-0.0279127765793662,-0.0212277426821242,-0.0215620766425822,-0.0404771933436235,-0.00899829268319366,0.0108544649465372,-0.0130908710841789,0.00998535451110406,0.0249894700134758,0.0092947013842573,0.0247210961566559,0.020097189812158,-0.0242005141454622,0.04682008472081,-0.0205284049686172,-0.0980699422154251,-0.00202762766705663,0.0113296909141478,0.024386339980359,-0.0203374697199872,-0.0166444201386643,-0.0356823225492202,-0.000470571596619846,-0.00372768826899667,-0.0170505772568129
"Ptgds",-0.014242812145296,0.0347849628105258,0.00116587937106221,0.0617252674824762,-0.0437306541861705,-0.00286351160837576,-0.0176397564175594,-0.0168735905300985,-0.0199408065579884,0.0165857472994926,0.00249783198003602,-0.0187994892695234,0.000883495351153719,0.0175653471784332,0.0194188919419793,0.0192372084076376,0.0164761882117434,0.0179977979032595,0.0264417654049995,-0.00946041430945719,0.00783115682961478,0.0160568060207538,0.0285301908611365,0.00287879943861202,-0.00573932487780807,0.00143535331280807,-0.0208227744740182,-0.0354512947102074,-0.0153524480840726,-0.00653585095486587,-0.0022769274493713,0.0260233831318315,-0.00648236121038784,-0.00378161938365619,0.00344043262926926,-0.00203993294601411,-0.0025076515681787,0.00156304964630533,0.0127730172184143,0.00230571820095142,0.00363259791323863,-0.0283380516593913,0.0215570967160737,-0.035149450068375,-0.0196932148316038,0.000131936691549703,-0.0262107364784731,0.0224405088528732,-0.0309531262078587,0.0403701528326552
"Chil3",0.0138728883676945,0.00388521080587388,-0.0069212942036512,-0.00200382725562999,-0.00361886639308749,-0.0695729583746878,0.0419243941541772,-0.00464299349524095,-0.00301830968414722,0.00707907274731508,-0.00335322227520787,-0.00264836932229357,-0.0477862064620894,-0.0379513800242649,0.0275858855375959,-0.0672273735178225,0.0270298786579081,0.0248054968835521,0.0297769816596383,-0.0912873056112014,0.0413126769346451,-0.00331402934345068,-0.0196494803188177,0.0235255136990616,-0.00457066037821299,-0.0293753219172057,-0.00807921125262087,-0.0288710452452549,0.0064400071957641,-0.0101672485194575,-0.0604958838523353,-0.00583524313825372,0.0184341126189789,-0.0141801934881549,-0.0259548619546452,-0.000287364255246157,0.0245519495938248,0.00154217550274882,-0.0143703924865896,-0.0231712769401248,0.023238726902295,0.0409462987790805,0.0111491952594004,0.00878006572579654,0.013433256306538,-0.0361209015866303,-0.00850591116528941,0.0222074024885109,-0.0246164457641295,-0.0181873512839226
"H2-Eb1",0.0128907678182703,0.00258547435356653,-0.0059012378446548,-0.000436500003114567,-0.00274653393001977,-0.038363242640159,0.021212761246386,-0.0164403881384162,-0.00593752879215908,-0.0487133705399029,-0.0924705881196697,0.0121104682154687,0.0271282381263326,-0.000326270870062822,0.00849325803741253,0.198355926856534,-0.0546892953937109,-0.0264314964547382,-0.0654014307851507,0.120380632115226,0.00429481138711065,-0.0189712974174622,0.00797639437446206,-0.00417878432691819,-0.0193040962278868,-0.0263960281800286,-0.0185654468448386,-0.0192991194800952,-0.0357223940947478,-0.0117172349720518,0.00717859155668517,-0.0166975448565157,0.00428772265558523,0.0297617159279073,0.00916807475157206,0.0236310895521484,0.0152730603034701,-0.0303228392392134,0.0450196755026354,-0.0193985735255931,-0.107311987928216,-0.00531965997183867,0.00128861070878949,0.0214068414877221,-0.00569678420644285,-0.00659543874175515,-0.0283918683258307,0.00461288434756058,-0.0127312419848835,-0.018598288227229
