gene,importance,rank,method
Gfap,0.03294509570303483,1,Geneformer
Actb,0.03220266105813677,2,Geneformer
Fbln5,0.03156631596354732,3,Geneformer
Adm,0.030668640498778484,4,Geneformer
Plat,0.030345651430420943,5,Geneformer
Angpt2,0.030318842540300667,6,Geneformer
Arg1,0.030262618727850406,7,Geneformer
Lcn2,0.030200701057247266,8,Geneformer
mt-Co3,0.02986905646758289,9,Geneformer
mt-Co1,0.029803864821216552,10,Geneformer
Gm2564,0.029664833162799668,11,Geneformer
Iigp1,0.029624793274966168,12,Geneformer
Mgp,0.02961151221017893,13,Geneformer
Ednrb,0.0296007520176943,14,Geneformer
Serpina3n,0.029381601243219185,15,Geneformer
mt-Nd1,0.028744082874576124,16,Geneformer
Car4,0.028726875304795167,17,Geneformer
Cxcl12,0.02855777627426546,18,Geneformer
Ackr1,0.02829717255847867,19,Geneformer
Lrg1,0.02791926245178714,20,Geneformer
Fth1,0.027777799521440043,21,Geneformer
8430408G22Rik,0.027744126064537637,22,Geneformer
Igfbp3,0.0275381789983505,23,Geneformer
Ifitm1,0.027432610943507036,24,Geneformer
Tgtp2,0.027117009534185808,25,Geneformer
Slc39a1,0.027099421637444186,26,Geneformer
Cd24a,0.027014979110531273,27,Geneformer
Cdkn1a,0.026963785416669096,28,Geneformer
AA467197,0.026939019989579645,29,Geneformer
Fos,0.026885069435537912,30,Geneformer
Ccl19,0.02688324636459224,31,Geneformer
Gbp4,0.026870378870694624,32,Geneformer
H2-Eb1,0.026777942687825886,33,Geneformer
Spp1,0.02658549599052713,34,Geneformer
Eln,0.026516417794414666,35,Geneformer
Mnda,0.026510350377011847,36,Geneformer
Meg3,0.026431772692972685,37,Geneformer
Timp1,0.026403948856042275,38,Geneformer
Tgtp1,0.026396960678629167,39,Geneformer
Ass1,0.026338107287035634,40,Geneformer
Nnat,0.02632824644037986,41,Geneformer
H2-Aa,0.026282161183848757,42,Geneformer
Igtp,0.026112918811703405,43,Geneformer
Pyhin1,0.026080135086658508,44,Geneformer
Stmn2,0.02607494017882229,45,Geneformer
Gpd1,0.026063422329119776,46,Geneformer
Ifi205,0.025953117789947484,47,Geneformer
Gm4955,0.025862095517590472,48,Geneformer
Rdh10,0.025841208651062597,49,Geneformer
H2-Ab1,0.02576712501572086,50,Geneformer
Igfbp6,0.025752891653500455,51,Geneformer
Il33,0.025741330525474476,52,Geneformer
Agt,0.02570979820696149,53,Geneformer
Cd72,0.0255491424322701,54,Geneformer
Slc6a13,0.025547590609820547,55,Geneformer
Il1rn,0.025519479051456528,56,Geneformer
Slc38a5,0.025465332134948098,57,Geneformer
Stc1,0.02526346651350182,58,Geneformer
Slc7a11,0.025239320854506447,59,Geneformer
Cfh,0.025223867464274758,60,Geneformer
Plac8,0.025133986709334047,61,Geneformer
Serpinb1a,0.025129009219249942,62,Geneformer
Ear2,0.025123797041798665,63,Geneformer
Anxa1,0.025123609297058987,64,Geneformer
mt-Nd4,0.0251164586516277,65,Geneformer
Cdh13,0.025076105833433456,66,Geneformer
Lpl,0.025016948551891363,67,Geneformer
Hmgcs2,0.02495771418285608,68,Geneformer
