gene,importance,rank,method
Gfap,0.034093423460562,1,scBERT
Gm2564,0.03391217676032007,2,scBERT
Actb,0.03339465179283004,3,scBERT
Lcn2,0.03250817747946987,4,scBERT
Ccl19,0.031152589413978714,5,scBERT
Adm,0.031017546262145885,6,scBERT
Serpina3n,0.03045039295640526,7,scBERT
Plat,0.029874058447975273,8,scBERT
Fbln5,0.029797337137775555,9,scBERT
Slc39a1,0.029635483002082113,10,scBERT
Ednrb,0.02937331337521948,11,scBERT
Ackr1,0.029289798735277928,12,scBERT
Lrg1,0.028990214737916336,13,scBERT
Fth1,0.02889352799163333,14,scBERT
Iigp1,0.028892674253689923,15,scBERT
Igfbp3,0.02876737697935162,16,scBERT
8430408G22Rik,0.028674550972794418,17,scBERT
Angpt2,0.028533204643154543,18,scBERT
Cxcl12,0.028420229543035042,19,scBERT
Ifitm1,0.028350563279115403,20,scBERT
Mnda,0.028251630362704998,21,scBERT
Spp1,0.02816805914895191,22,scBERT
Ifi205,0.028105543659690146,23,scBERT
Cdkn1a,0.027900864632634012,24,scBERT
Mgp,0.0278659311847454,25,scBERT
Ear2,0.027830608689986033,26,scBERT
H2-Eb1,0.02780462703825229,27,scBERT
Car4,0.027679782280132462,28,scBERT
AA467197,0.027606493894324336,29,scBERT
H2-Aa,0.027306099763932,30,scBERT
Fos,0.027210878997712216,31,scBERT
Stc1,0.027189782795767174,32,scBERT
Fosb,0.02715272506967622,33,scBERT
Gbp4,0.027065483285149048,34,scBERT
Rdh10,0.026714052469068796,35,scBERT
Agt,0.02653995257691175,36,scBERT
Anxa1,0.02653721523523778,37,scBERT
Eln,0.02646439125324247,38,scBERT
Pyhin1,0.026269539957788572,39,scBERT
Meg3,0.02624703778122419,40,scBERT
Il33,0.02614146809582627,41,scBERT
Cd24a,0.02606483105474478,42,scBERT
Tgtp2,0.026062581961185088,43,scBERT
Igtp,0.026054599346727398,44,scBERT
H2-Ab1,0.02604426118036394,45,scBERT
Cdh13,0.025916975474920008,46,scBERT
Slc6a13,0.02591481653085143,47,scBERT
Igfbp6,0.025910315799149666,48,scBERT
Tgtp1,0.02579375836896293,49,scBERT
Edn3,0.025731184171668794,50,scBERT
Ngp,0.025627284853969267,51,scBERT
Hmgcs2,0.025600857518080437,52,scBERT
Aldh1a1,0.02558385497664213,53,scBERT
Gm4955,0.025538364534226882,54,scBERT
Ly6i,0.02552551954566009,55,scBERT
