gene,importance,rank,method
Gm2564,0.03398781926487084,1,scFormer
Gfap,0.033846478249289394,2,scFormer
Actb,0.033160019247387686,3,scFormer
Lcn2,0.03256555993226358,4,scFormer
Ccl19,0.03117513912048452,5,scFormer
Adm,0.030931188289249317,6,scFormer
Serpina3n,0.030368773548643493,7,scFormer
Plat,0.02978529400948664,8,scFormer
Fbln5,0.029668342585585233,9,scFormer
Slc39a1,0.02958568413635525,10,scFormer
Ednrb,0.029412291253958937,11,scFormer
Ackr1,0.02929533386557216,12,scFormer
Lrg1,0.02899883971416186,13,scFormer
Iigp1,0.02899340858105143,14,scFormer
Fth1,0.02890211762826156,15,scFormer
Igfbp3,0.028868264292937814,16,scFormer
8430408G22Rik,0.028611413890942752,17,scFormer
Angpt2,0.028551690656182096,18,scFormer
Spp1,0.028504928271501893,19,scFormer
Cxcl12,0.028363468898172768,20,scFormer
Mnda,0.028361094736296468,21,scFormer
Ifitm1,0.02833028108830492,22,scFormer
Ifi205,0.02815624909553504,23,scFormer
Cdkn1a,0.027949632660602845,24,scFormer
Ear2,0.027839197236463626,25,scFormer
H2-Eb1,0.027824652023894707,26,scFormer
Mgp,0.027686621266791223,27,scFormer
AA467197,0.027640469463774485,28,scFormer
Car4,0.027629991009762555,29,scFormer
H2-Aa,0.02733490973620331,30,scFormer
Gbp4,0.02714412733787397,31,scFormer
Stc1,0.027140760871996683,32,scFormer
Fos,0.027014610957598002,33,scFormer
Fosb,0.027001874997656963,34,scFormer
Anxa1,0.026717144287508883,35,scFormer
Agt,0.026591276039313477,36,scFormer
Rdh10,0.026518312146285524,37,scFormer
Eln,0.026323861628835328,38,scFormer
Pyhin1,0.026263381691577097,39,scFormer
Cd24a,0.026255909668255785,40,scFormer
Tgtp2,0.026196358754336416,41,scFormer
Igtp,0.026107605429586667,42,scFormer
Meg3,0.026087307059910032,43,scFormer
H2-Ab1,0.026055593005729877,44,scFormer
Il33,0.026032976424224617,45,scFormer
Cdh13,0.025902859275033205,46,scFormer
Tgtp1,0.025882877465994672,47,scFormer
Slc6a13,0.02586661842801629,48,scFormer
Edn3,0.025706967497870558,49,scFormer
Igfbp6,0.02568343409154885,50,scFormer
Ngp,0.025651103433729266,51,scFormer
Cd72,0.025562160429850492,52,scFormer
Timp1,0.025536698085460427,53,scFormer
Gm4955,0.025521954810019166,54,scFormer
Hmgcs2,0.02547209880607658,55,scFormer
Ly6i,0.025444863369475174,56,scFormer
Aldh1a1,0.02539818631904375,57,scFormer
Napsa,0.025392954078876345,58,scFormer
Gbp2,0.025381130159325624,59,scFormer
Ccr2,0.025322025710902363,60,scFormer
Ifit3,0.0252535390789013,61,scFormer
Cd74,0.0252233534490571,62,scFormer
Adam8,0.025214827343667746,63,scFormer
Ch25h,0.025213489725710136,64,scFormer
Sepp1,0.02521100026522848,65,scFormer
Lpl,0.02520195693702514,66,scFormer
Ifitm6,0.0250403951886742,67,scFormer
Ifi47,0.02496927051957451,68,scFormer
Fabp7,0.024964974471829618,69,scFormer
Slc7a11,0.024954670291189328,70,scFormer
Serpinb1a,0.02494640644211753,71,scFormer
Cfh,0.02487425894738042,72,scFormer
Pi16,0.02486867741123245,73,scFormer
Slc26a10,0.024784763698781666,74,scFormer
Hspa1a,0.02475745057836,75,scFormer
Ass1,0.02468582589355353,76,scFormer
Sirpb1c,0.0246771950322272,77,scFormer
Col3a1,0.024622542494880235,78,scFormer
Junb,0.02457749470286297,79,scFormer
Clec4b1,0.02455551527916418,80,scFormer
Stmn2,0.024547918953574884,81,scFormer
Plac8,0.02452477821595459,82,scFormer
Emp1,0.024486295339663962,83,scFormer
Tubb6,0.024478757205311095,84,scFormer
Kcnj8,0.024423579068445493,85,scFormer
Gpd1,0.024407702081835594,86,scFormer
Apod,0.02438699749471524,87,scFormer
Slc38a5,0.02436952837028164,88,scFormer
Gkn3,0.02436046901753763,89,scFormer
Angptl4,0.024322305794316035,90,scFormer
Dbp,0.024242578762871836,91,scFormer
Nnat,0.02419235294133596,92,scFormer
Mgl2,0.024185953498849947,93,scFormer
Tmsb10,0.02417849337577996,94,scFormer
Il1rn,0.024178348027003874,95,scFormer
Cybb,0.02413710686774095,96,scFormer
Fstl1,0.02411233965158283,97,scFormer
Dcn,0.024043556432353057,98,scFormer
6330403K07Rik,0.02393174252418594,99,scFormer
Cxcl10,0.02390907907352987,100,scFormer
Fhl1,0.02386550579468459,101,scFormer
Ccl12,0.02381569595866816,102,scFormer
Traf1,0.023809357400636198,103,scFormer
Mt2,0.023702861060390063,104,scFormer
Klrd1,0.023683170458372153,105,scFormer
Dok2,0.02366616076262899,106,scFormer
Egfl8,0.023646817048962248,107,scFormer
F10,0.023599753167515627,108,scFormer
Fgfbp1,0.023597287825813426,109,scFormer
Clec12a,0.023575276362561633,110,scFormer
Wfdc21,0.023550656533902543,111,scFormer
Plk2,0.023501414077530845,112,scFormer
Vwf,0.023450754148436607,113,scFormer
Col8a1,0.023384355052357444,114,scFormer
Clec10a,0.02338433695653745,115,scFormer
Slc6a20a,0.023351067631557587,116,scFormer
Ramp3,0.023319104105717754,117,scFormer
Hcar2,0.023233988137564957,118,scFormer
Retnlg,0.023212617384466967,119,scFormer
Lilr4b,0.02319085175878029,120,scFormer
Notch2,0.023186791261104484,121,scFormer
Itgb7,0.023183944561903178,122,scFormer
Apold1,0.023168991843766275,123,scFormer
Acer2,0.023153462076429765,124,scFormer
Pydc4,0.023140909906577495,125,scFormer
