gene,importance,rank,method
Gfap,0.03386171298902016,1,scGPT
Actb,0.03349997902307846,2,scGPT
Gm2564,0.03346856186109613,3,scGPT
Lcn2,0.032249586118470695,4,scGPT
Ccl19,0.03072881426159829,5,scGPT
Adm,0.030680014516816314,6,scGPT
Serpina3n,0.030061332990477294,7,scGPT
Fbln5,0.029767982009780213,8,scGPT
Slc39a1,0.029603286972052698,9,scGPT
Plat,0.02953363102652442,10,scGPT
Ednrb,0.02937249639047699,11,scGPT
Ackr1,0.029023253309921806,12,scGPT
Fth1,0.028857677073305662,13,scGPT
Igfbp3,0.028816608309133077,14,scGPT
Lrg1,0.02878575148079865,15,scGPT
Iigp1,0.028720911401563746,16,scGPT
Angpt2,0.028398451193763233,17,scGPT
Cxcl12,0.02837663321230424,18,scGPT
Ifitm1,0.02824703571934404,19,scGPT
8430408G22Rik,0.028232375888300035,20,scGPT
Ifi205,0.02814410384653336,21,scGPT
Mnda,0.02806513216498065,22,scGPT
Mgp,0.02791096906719075,23,scGPT
Ear2,0.027793014899304875,24,scGPT
Car4,0.027762347662341327,25,scGPT
AA467197,0.027717719468725834,26,scGPT
H2-Eb1,0.027648773040424172,27,scGPT
Spp1,0.027630018304678157,28,scGPT
Cdkn1a,0.027598965951623096,29,scGPT
Fos,0.027307763918168623,30,scGPT
Fosb,0.027224243991616555,31,scGPT
Stc1,0.027185786844786897,32,scGPT
H2-Aa,0.027185282700226708,33,scGPT
Gbp4,0.026866086409424953,34,scGPT
Agt,0.0267095979013847,35,scGPT
Rdh10,0.02669870282848538,36,scGPT
Eln,0.02644320555815855,37,scGPT
Anxa1,0.026286141198071808,38,scGPT
Pyhin1,0.026193894898419043,39,scGPT
Cd24a,0.026037868332513616,40,scGPT
Meg3,0.025992221497204888,41,scGPT
Tgtp2,0.025905827582435145,42,scGPT
Il33,0.025903681553049743,43,scGPT
H2-Ab1,0.025864678409059042,44,scGPT
Igtp,0.025861491867087215,45,scGPT
Cdh13,0.02575814843016962,46,scGPT
Edn3,0.025751248927903293,47,scGPT
Igfbp6,0.025689336917958945,48,scGPT
Ngp,0.02562706587742938,49,scGPT
Slc6a13,0.025618689198700154,50,scGPT
Tgtp1,0.025601261797847608,51,scGPT
Aldh1a1,0.025466441473133386,52,scGPT
Gm4955,0.025401456538627097,53,scGPT
Ly6i,0.02538815404850719,54,scGPT
Hmgcs2,0.025378551894156217,55,scGPT
Sepp1,0.02535216875479718,56,scGPT
Timp1,0.02521135157374713,57,scGPT
Gbp2,0.02517165903208485,58,scGPT
Fabp7,0.025138749734837394,59,scGPT
Ccr2,0.02505505704349352,60,scGPT
Ifit3,0.025048369769385948,61,scGPT
Cd72,0.025042389855380688,62,scGPT
Napsa,0.024986427132102428,63,scGPT
Adam8,0.024956045863857787,64,scGPT
Cd74,0.024953722645312933,65,scGPT
Slc7a11,0.024864238437284455,66,scGPT
Junb,0.02480753203728837,67,scGPT
Stmn2,0.024779606782435615,68,scGPT
Hspa1a,0.024775972108814923,69,scGPT
Pi16,0.024773363662815826,70,scGPT
Ifi47,0.024769530864224752,71,scGPT
Ch25h,0.024761339504838265,72,scGPT
Ass1,0.024757714859830453,73,scGPT
Serpinb1a,0.024750790407499185,74,scGPT
Lpl,0.024646976146654207,75,scGPT
Slc26a10,0.024624195509003535,76,scGPT
Ifitm6,0.024526303877166904,77,scGPT
Gkn3,0.024484773007268316,78,scGPT
Col3a1,0.024484749870369627,79,scGPT
Cfh,0.024453975683783147,80,scGPT
Tmsb10,0.024450267610992896,81,scGPT
Gpd1,0.024409795308482984,82,scGPT
Sirpb1c,0.024385230229620063,83,scGPT
Plac8,0.024351489618823878,84,scGPT
Slc38a5,0.024311371477551233,85,scGPT
Clec4b1,0.024307938175247904,86,scGPT
Apod,0.024305478794738274,87,scGPT
Angptl4,0.02419784504015931,88,scGPT
Nnat,0.0241315986241988,89,scGPT
Mgl2,0.024120415036118992,90,scGPT
Il1rn,0.0240588055993991,91,scGPT
Emp1,0.024047410470010487,92,scGPT
Cybb,0.024046386651585365,93,scGPT
Kcnj8,0.02402906672398488,94,scGPT
Dbp,0.02400560613703124,95,scGPT
Tubb6,0.02397831803595732,96,scGPT
Fstl1,0.02392597720228481,97,scGPT
6330403K07Rik,0.02381394622970192,98,scGPT
Traf1,0.023788590417959398,99,scGPT
Dcn,0.02376322776418136,100,scGPT
Fhl1,0.02367405572614704,101,scGPT
Egfl8,0.023581724360494376,102,scGPT
Cxcl10,0.023574986760180706,103,scGPT
Klrd1,0.023569418010826872,104,scGPT
Fgfbp1,0.02356875049140147,105,scGPT
Dok2,0.023562030175508116,106,scGPT
Mt2,0.023459708786389973,107,scGPT
Clec10a,0.023418340835323653,108,scGPT
Ccl12,0.02341156602319413,109,scGPT
Vwf,0.023352891196603845,110,scGPT
F10,0.023327077287616856,111,scGPT
Plk2,0.02325101760055904,112,scGPT
Col8a1,0.02324636899852846,113,scGPT
Wfdc21,0.023236842284096254,114,scGPT
Slc6a20a,0.023227026029688926,115,scGPT
Ramp3,0.02321515196168973,116,scGPT
Notch2,0.02319440537875299,117,scGPT
Clec12a,0.023156446279205763,118,scGPT
Ptn,0.023152846326387373,119,scGPT
Bcl2a1d,0.023145403513707884,120,scGPT
Abhd2,0.023068759982113288,121,scGPT
Pydc4,0.023039273944616516,122,scGPT
Hcar2,0.02302581827923865,123,scGPT
Cp,0.023021340789865313,124,scGPT
Cd9,0.023013778436398947,125,scGPT
Itgb7,0.023002482401932898,126,scGPT
Eno3,0.02299832237124827,127,scGPT
Sdc4,0.022963140533381072,128,scGPT
Apold1,0.022918625525851333,129,scGPT
Acer2,0.022902372202877882,130,scGPT
Bmx,0.02289130722567955,131,scGPT
Lilr4b,0.022890312937171236,132,scGPT
Retnlg,0.022875827041872444,133,scGPT
Nupr1,0.022874265165232468,134,scGPT
Mgst1,0.02286743190281644,135,scGPT
Chil3,0.02279451451094431,136,scGPT
Ccl5,0.022790771237579995,137,scGPT
Lgals3,0.022716634633709033,138,scGPT
Pla1a,0.022688140319383994,139,scGPT
Mndal,0.02265839874292132,140,scGPT
Ms4a4c,0.022628520804752923,141,scGPT
Adamts4,0.022626021633025146,142,scGPT
Tnf,0.022609886582703808,143,scGPT
Klf4,0.022598333860566228,144,scGPT
Glul,0.02257576882969476,145,scGPT
Marcksl1,0.022559920086755687,146,scGPT
Ly6c2,0.022528534432502793,147,scGPT
Itih3,0.022520921125857858,148,scGPT
Lyve1,0.022509505731288532,149,scGPT
Cygb,0.022494392097867414,150,scGPT
Gpr182,0.0224937406062635,151,scGPT
Gngt2,0.02249351980585509,152,scGPT
Cytip,0.022413290803413408,153,scGPT
Ctla2a,0.02241202765331143,154,scGPT
Slc6a6,0.022406590729341817,155,scGPT
Klrk1,0.022347299842365914,156,scGPT
H2-DMb2,0.02227078202842593,157,scGPT
Cd209a,0.022199491010124722,158,scGPT
Mal,0.022192013912742455,159,scGPT
Myo1g,0.022177427633422432,160,scGPT
S100a6,0.022167375326745023,161,scGPT
Ltb,0.022163500149231276,162,scGPT
Ifit3b,0.022158403053333706,163,scGPT
Tm4sf1,0.022148565500391872,164,scGPT
Sell,0.022141776743592197,165,scGPT
Fabp4,0.022134204790702456,166,scGPT
Phlda1,0.022068772170608854,167,scGPT
Ifi204,0.022036950269344404,168,scGPT
S100a10,0.022012443099546565,169,scGPT
Bmp7,0.021998830937694624,170,scGPT
Cnn1,0.021971363432403957,171,scGPT
Gadd45b,0.021959466881967114,172,scGPT
Pdcd4,0.021942370756169283,173,scGPT
Ttyh2,0.02193613723510006,174,scGPT
Ccl9,0.021886631007668925,175,scGPT
Fcgr4,0.021885229047131353,176,scGPT
Ifi203,0.021828140021843436,177,scGPT
Slc4a10,0.021742182831847298,178,scGPT
Il1r2,0.021739244977179408,179,scGPT
Phf11b,0.021735621159787354,180,scGPT
Tmem176a,0.021713061092088603,181,scGPT
Fxyd5,0.021706135604155956,182,scGPT
Cd177,0.021695795199896967,183,scGPT
Il1b,0.021633901077490407,184,scGPT
Cyr61,0.021610041978972813,185,scGPT
Igfbp4,0.021603713307526043,186,scGPT
Apoe,0.021591515023399878,187,scGPT
Mt1,0.021577067954649594,188,scGPT
Cd79b,0.021572377077979064,189,scGPT
Dusp2,0.021542478785837392,190,scGPT
Igfbp2,0.02154236277204003,191,scGPT
Mmp8,0.02152971400495658,192,scGPT
Plaur,0.02150337866905148,193,scGPT
Vcam1,0.02146564819864426,194,scGPT
Rsad2,0.021427839612373892,195,scGPT
Ier3,0.021378782203536895,196,scGPT
Nov,0.021374974343133072,197,scGPT
Tmem176b,0.021368065540898054,198,scGPT
AW112010,0.021340375995127787,199,scGPT
Kdm6b,0.02132373547350156,200,scGPT
Atp13a5,0.021294315921364524,201,scGPT
Igfbp5,0.021272756032523463,202,scGPT
Pid1,0.021229173362604038,203,scGPT
Cfp,0.021218937646769,204,scGPT
Colec12,0.021189089515963194,205,scGPT
Cxcl16,0.021137627620067496,206,scGPT
Ercc1,0.02113723552039053,207,scGPT
Mmp9,0.02113668830281464,208,scGPT
Nfkbia,0.0211263593271664,209,scGPT
Cdc42ep3,0.021124087551923257,210,scGPT
Clec4n,0.021113019406524138,211,scGPT
Hist1h2ap,0.021110239077244655,212,scGPT
S100a4,0.02110203842744904,213,scGPT
Tmem252,0.02101981260757064,214,scGPT
Rgcc,0.0209838958561449,215,scGPT
Camp,0.02095911802570282,216,scGPT
Fbln2,0.02094913944132191,217,scGPT
Nfia,0.020925006267338068,218,scGPT
Ifit1,0.020888301801838174,219,scGPT
Phf11a,0.02086789003479722,220,scGPT
Gm26802,0.020849967991819866,221,scGPT
Gpr84,0.020819186968734974,222,scGPT
Msr1,0.02079826341608904,223,scGPT
Isg15,0.020794581729736476,224,scGPT
Hrct1,0.020779087538231475,225,scGPT
Scgb3a1,0.020763300787560668,226,scGPT
Lum,0.020748176559406153,227,scGPT
Plvap,0.020740222744257145,228,scGPT
Thbs1,0.02073270647121498,229,scGPT
2810417H13Rik,0.02071854073095697,230,scGPT
Cmbl,0.020701954071668693,231,scGPT
Sirpb1b,0.020693202805342856,232,scGPT
Capg,0.020670585008909774,233,scGPT
G0s2,0.02066723040816169,234,scGPT
Clec4e,0.020614351791321227,235,scGPT
Ctgf,0.020609049825421992,236,scGPT
Btg2,0.020597786159037377,237,scGPT
Sod3,0.0205893329663986,238,scGPT
Gm9733,0.020568011710729663,239,scGPT
Olfr558,0.020559256561304994,240,scGPT
Il34,0.020461422826041416,241,scGPT
Hapln2,0.020420820454523963,242,scGPT
Crispld2,0.020343595497032626,243,scGPT
Ccrl2,0.020336767714042275,244,scGPT
Tuba1a,0.020313040509096627,245,scGPT
Bcl2a1a,0.020274184683586036,246,scGPT
H2-Q7,0.02026749707691138,247,scGPT
Ly6g,0.020222977174118695,248,scGPT
Emb,0.020219738769730614,249,scGPT
Lpar1,0.02016276049481285,250,scGPT
Hbegf,0.020152065867765512,251,scGPT
Trem3,0.0200852800567356,252,scGPT
Tubb3,0.020063795030297257,253,scGPT
Cd83,0.02005722986045665,254,scGPT
Ptprcap,0.020041548677115238,255,scGPT
Gria2,0.019989480462256858,256,scGPT
Anln,0.0199630338131764,257,scGPT
Gas6,0.019950324661642153,258,scGPT
Adamts9,0.01994377786471269,259,scGPT
Plpp1,0.01989727469297939,260,scGPT
Ptgs2,0.019886271871565588,261,scGPT
Ccl4,0.019885276830142996,262,scGPT
Nr4a1,0.01987671309649807,263,scGPT
Cxcl2,0.019875105001793583,264,scGPT
Wfdc17,0.019841244932420097,265,scGPT
Serping1,0.019825076224088755,266,scGPT
Fbxl22,0.01977895017939799,267,scGPT
Gbp3,0.01977198600990085,268,scGPT
5430416O09Rik,0.01976276918994688,269,scGPT
Gatm,0.01976269406037049,270,scGPT
Dpep2,0.019730988990341314,271,scGPT
Psmb8,0.019705676456468018,272,scGPT
Ccl7,0.019670291331905756,273,scGPT
Ccnd2,0.01965026374923242,274,scGPT
Cd300lg,0.01964060688967732,275,scGPT
Gm694,0.019640460623478254,276,scGPT
S100b,0.019629116795164693,277,scGPT
Phf11d,0.019609708081409265,278,scGPT
Timp3,0.019575007872486363,279,scGPT
Slc22a8,0.019563489035326363,280,scGPT
Rnf128,0.019560372549375142,281,scGPT
Lmcd1,0.019520250583666025,282,scGPT
Ms4a4b,0.019506986792848263,283,scGPT
Mdk,0.019498040499867662,284,scGPT
Id2,0.019492974955170064,285,scGPT
Ifitm3,0.01947397539858656,286,scGPT
Anxa2,0.019450773132922962,287,scGPT
Mfap2,0.019436806615859042,288,scGPT
Vtn,0.01942358064611642,289,scGPT
Cd300ld,0.019393060683724886,290,scGPT
Pdpn,0.01938561969539198,291,scGPT
Emcn,0.01937902230414086,292,scGPT
Edn1,0.019358052929497226,293,scGPT
Ecm1,0.019333966067548503,294,scGPT
Fabp5,0.019309875719755797,295,scGPT
Net1,0.01929698462474848,296,scGPT
Lgals1,0.019286463201201136,297,scGPT
Cks2,0.01928322598979578,298,scGPT
Spry2,0.019265870160791048,299,scGPT
Ccl6,0.01925053133693814,300,scGPT
Bmp2k,0.01924777377821086,301,scGPT
Tnfrsf12a,0.019245559072845815,302,scGPT
Cyp4f18,0.01922063019556142,303,scGPT
Cd244,0.01921584709533821,304,scGPT
Tnfaip2,0.01920813894893731,305,scGPT
Adgre4,0.019199935520274273,306,scGPT
Tlr2,0.019187189017203336,307,scGPT
Nkg7,0.019173548903316,308,scGPT
Glipr2,0.0191719368925734,309,scGPT
Ftl1,0.019152220277386597,310,scGPT
Gsn,0.019149612280815975,311,scGPT
Cst7,0.019133375252328805,312,scGPT
Mif,0.019121047685732875,313,scGPT
P2ry14,0.01911934227245869,314,scGPT
Il1r1,0.01910326885082318,315,scGPT
B930036N10Rik,0.019100638427204875,316,scGPT
Rasd1,0.019095588882155026,317,scGPT
Cd36,0.019080080951268463,318,scGPT
Prdx1,0.01907978401248018,319,scGPT
Zbp1,0.019067495800458478,320,scGPT
Ptprr,0.018999880244857194,321,scGPT
Slc43a3,0.01899651829438726,322,scGPT
Ptgis,0.018996118119950237,323,scGPT
Adamts1,0.01898321434115527,324,scGPT
Gadd45g,0.018981858979392443,325,scGPT
Irg1,0.018980137466210533,326,scGPT
Matn2,0.01897892770375248,327,scGPT
Tgm2,0.018955240694460373,328,scGPT
Plbd1,0.01894712389853299,329,scGPT
Qpct,0.018944144651343364,330,scGPT
Clec14a,0.018942124188677408,331,scGPT
Gpr171,0.018941160467048728,332,scGPT
Pglyrp1,0.018939670194064766,333,scGPT
Cped1,0.018916086446011265,334,scGPT
Ecscr,0.018913634106348873,335,scGPT
Gm9946,0.018913151123583986,336,scGPT
Slco3a1,0.018901919263534205,337,scGPT
Dnajb1,0.018899521102436662,338,scGPT
