Mouse_Gene,Human_Ortholog,Conservation,Type
Spp1,SPP1,1:1 (inferred),Capitalized
Cdkn1a,CDKN1A,1:1 (inferred),Capitalized
Cd24a,CD24A,1:1 (inferred),Capitalized
Cd72,CD72,1:1 (inferred),Capitalized
Fth1,FTH1,1:1 (inferred),Capitalized
Lpl,LPL,1:1 (inferred),Capitalized
H2-Eb1,H2-EB1,1:1 (inferred),Capitalized
Ifitm6,IFITM6,1:1 (inferred),Capitalized
H2-Aa,H2-AA,1:1 (inferred),Capitalized
Tubb6,TUBB6,1:1 (inferred),Capitalized
Il1rn,IL1RN,1:1 (inferred),Capitalized
Napsa,NAPSA,1:1 (inferred),Capitalized
Sirpb1c,SIRPB1C,1:1 (inferred),Capitalized
Adam8,ADAM8,1:1 (inferred),Capitalized
Plac8,PLAC8,1:1 (inferred),Capitalized
Ch25h,CH25H,1:1 (inferred),Capitalized
Anxa1,ANXA1,1:1 (inferred),Capitalized
Sepp1,SEPP1,1:1 (inferred),Capitalized
Dbp,DBP,1:1 (inferred),Capitalized
Emp1,EMP1,1:1 (inferred),Capitalized
